[2021-02-20 16:24:13,112 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_terminal_user_time_series_data`
[2021-02-20 16:24:13,112 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,126 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_terminal_user_time_series_data_repo`
[2021-02-20 16:24:13,126 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,133 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_transformer_daily_data`
[2021-02-20 16:24:13,133 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,165 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_transformer_daily_data_repo`
[2021-02-20 16:24:13,165 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,192 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_transformer_property`
[2021-02-20 16:24:13,192 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,199 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_transformer_time_series_data`
[2021-02-20 16:24:13,199 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,248 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_transformer_time_series_data_repo`
[2021-02-20 16:24:13,248 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,261 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_user_groups`
[2021-02-20 16:24:13,261 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,271 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_user_role`
[2021-02-20 16:24:13,271 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,277 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_user_user_permissions`
[2021-02-20 16:24:13,277 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,282 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `temp_transformer_location_info`
[2021-02-20 16:24:13,282 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:25:00,346 | base.py, _begin_impl, line 727 | INFO] BEGIN (implicit)
